"sku";"post_title";"post_content";"post_excerpt";"category";"tags";"post_status";"visibility";"manage_stock";"stock_status";"backorders";"stock";"regular_price";"sale_price";"weight";"length";"width";"height";"tax_status";"tax_class";"featured";"featured_image";"product_gallery";"shipping_class";"comment_status";"ping_status";"menu_order"
"SA 46";"Casio Keyboard SA 46";;"Adaptor Not Included";"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;2395;2155.5;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/SA_46_mini.jpg";;;"open";"open";1)
"SA 47";"Casio Keyboard SA 47";;"Adaptor Not Included";"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;2395;2155.5;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/SA_47_mini.jpg";;;"open";"open";1)
"SA 76";"Casio Keyboard SA 76 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;3500;3150;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/SA_76_mini.jpg";;;"open";"open";1)
"SA 77";"Casio Keyboard SA 77 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;3500;3150;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/SA_77_mini.jpg";;;"open";"open";1)
"SA 78";"Casio Keyboard SA 78 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;3500;3150;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/SA_78_mini.jpg";;;"open";"open";1)
"MA 150";"Casio Keyboard MA 150 with Adaptor LAD_6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;4000;3400;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/MA_150_mini.jpg";;;"open";"open";1
"CTK 240";"Casio Keyboard CTK 240 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;5200;4420;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_240_mini.jpg";;;"open";"open";1)
"CTK 245";"Casio Keyboard CTK 245 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;5200;4420;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_245_mini.jpg";;;"open";"open";1)
"CTK 1200";"Casio Keyboard CTK 1200 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;6000;5100;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_1200_mini.jpg";;;"open";"open";1)
"CTK 1300";"Casio Keyboard CTK 1300 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;6000;5100;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_1300_mini.jpg";;;"open";"open";1)
"CTK 2400";"Casio Keyboard CTK 2400 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;6595;5605.75;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_2400_mini.jpg";;;"open";"open";1)
"CTK 3200";"Casio Keyboard CTK 3200 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;8500;7225;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_3200_mini.jpg";;;"open";"open";1)
"CTK 4400";"Casio Keyboard CTK 4400 with Adaptor LAD 6";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;10000;8500;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_4400_mini.jpg";;;"open";"open";1)
"CTK 860 IN";"Casio Keyboard CTK 860 IN with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;12000;10200;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK 860_IN_mini.jpg";;;"open";"open";1)
"CTK 6300 IN";"Casio Keyboard CTK 6300 IN with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;15000;12750;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK 6300_IN_mini.jpg";;;"open";"open";1)
"CTK 7300 IN";"Casio Keyboard CTK 7300 IN with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;22000;18700;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK 7300_IN_mini.jpg";;;"open";"open";1)
"CTK 5000";"Casio Keyboard CTK 5000 with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;14000;11900;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_5000_mini.jpg";;;"open";"open";1)
"WK 220";"Casio Keyboard WK 220 with Adaptor LAD 5";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;15000;12750;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/WK_220_mini.jpg";;;"open";"open";1)
"WK 6600";"Casio Keyboard WK 6600 with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;20000;17000;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/WK_6600_mini.jpg";;;"open";"open";1)
