sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,gallery,gift_message_available,gr_ean,gr_valid_through,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
CTK-850IN,,Default,simple,,"Default Category",base,,,,"2014-04-15 09:45:18",,,,,"61 keys Piano-style keyboard <br \>
AHL* sound source with 48-tone maximum polyphony <br \>
11 Indian rhythms and more for a total of 180 versatile rhythms <br \>
600 high-quality built-in tones including 15 Indian tones, stereo sampled grand piano tones <br \>
180 built-in rhythms (Including 11 Indian rhythms)(10 user rhythms) <br \>
Digital Effects: 10 types Reverb, 5 types Chorus <br \>
Chord Book <br \>
Sample a sound from a portable audio player and then play it on the keyboard <br \>
AUDIO IN jack <br \>
New lessons functions <br \>
152 Song Bank tunes including 50 Exercise phrase <br \>
10 Songs Expansion (up to 320KB) <br \>
Metronome Beats: 0, 2, 3, 4, 5, 6 (Tempo range: quarter note = 30 to 255) <br \>
Recorder: 6 tracks x 5 songs (performance recording), 1 song (lesson recording), approx. 12,000 notes, real-time recording/playback <br \>
PIANO/ORGAN Button <br \>
SD memory card slot <br \>
Rhythm Editor <br \>
Registration: 32 setups (4 sets x 8 banks) <br \>
Music Preset: 305 presets <br \>
One Touch Preset: 180 sets <br \>
Auto Harmonize: 12 types <br \>
Arpeggiator: 90 types  <br \>
Preset Scale: Equal temperament + 16 types <br \>
Octave Shift: ±2 octaves <br \>
Music Challenge <br \>
Rhythm/Song controller <br \>
Piano/Organ Button <br \>
Pitch bend wheel <br \>
Chord Book <br \>
Key Transpose: 25 steps (-12 to +12 semitones) <br \>
Tuning Control: A4 = 415.5 to 465.9 Hz (Initial Default: 440.0 Hz) <br \>
Pedals: Standard jack (sustain, sostenuto, soft, rhythm) <br \>
Large, Backlit LCD Display <br \>
USB Port, General MIDI compatible <br \>
Amplifier: 2.5W + 2.5W <br \>
Speakers: 12cm X 2 <br \>
Power: AC adaptor: AD-E95100L or Batteries: AA-size x 6 <br \>
Dimension: 948 x 350 x 103 mm <br \>
Weight: 4.4kg <br \>
Included Accessories: AC adaptor(AD-E95100L), Music stand, song book <br \>",No,,,4971850314257,,0,/8/5/850in_mainimg.jpg,,,,"Casio CTK-850IN Keyboard with AC Adaptor. 61 piano-style keys, 600 built-in tones, 15 Indian tones, 180 built-in rhythms, 11 Indian rhythms Lowest Price Guaranteed! Buy Online, Free Delivery, Cash On Delivery in India.",,"Casio CTK-850IN Keyboard with AC Adaptor Buy Online Free Delivery CoD India",,,"Use config","Use config","Casio Keyboard CTK-850IN",,,"Block after Info Column",,10400.0000,0,"61 piano-style keys, 600 built-in tones including 15 Indian tones, 180 built-in rhythms including 11 Indian rhythms",/8/5/850in_p.jpg,,,,,1,2,/8/5/850in_p.jpg,,"2014-10-22 07:18:38",casio-keyboard-ctk-850in,casio-keyboard-ctk-850in,4,4.4000,8.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,1,0,0,1,0.0000,1,0,0,,,,,CTK-6300IN,0,,,,,,,,,,,88,/8/5/850in_mainimg.jpg,,1,0
,,,,Keyboard/Casio,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTK-7300IN,0,,,,,,,,,,,88,/8/5/850in_p.jpg,,2,0
AP-650MBK,,Default,simple,,"Default Category",base,,,,"2014-04-15 07:15:18",,,,,"Unprecedented Natural Reproduction of the Rich Expressive Power and Resonance of an Acoustic Piano <br \>

88-key, Tri-sensor Scaled Hammer Action Keyboard II, Simulated ebony and ivory keys <br \>
Touch Response: 3 sensitivity levels, Off <br \>
Sound Source: Multi-dimensional Morphing AiR <br \>
Maximum Polyphony: 256 <br \>
Tones: 250 built-in tones: 14 Grand Piano tones,17 Elec Piano tones, 14 Organ tones,16 Strings tones, 47 Various tones, 128 GM tones,14 Drum sets <br \>
Layer/Split <br \>
Digital Effects: Reverb (4 types), chorus (4 types), brilliance(-3 ~ 0 ~ 3), DSP (built into some tones), acoustic resonance system <br \>
Rhythms/Patterns: 180 built-in rhythms, 10 user rhythms <br \>
Auto Accompaniment Modes: CASIO Chord, Fingered 1, Fingered 2 (6th off), Fingered 3 (on bass), Full Range Chord <br \>
Controllers: Start/Stop, Intro, Normal/Fill-in, Variation/Fill-in, Synchro/Ending <br \>
Built-in Songs: 60 (Music Library) + 6 (demo tunes) <br \>
Song Expansion: 10 songs (320KB maximum per song) <br \>
Lesson Function: Part on/off (Lesson part: right hand/left hand) <br \>
Metronome Beats: 0, 2, 3, 4, 5, 6 (Tempo range: quarter note = 20 to 255) <br \>
Recorder: [MIDI] 17 tracks (System Track + 16 tracks) x 5 songs, approximately 10,000 notes maximum per song, real-time recording/playback, punch-in/punch-out recording support <br \>
[Audio Recording] 44.1 kHz WAV Format / up to approximately 25 min. per song <br \>
Tone select button <br \>
Rhythm editor (10 user rhythms) <br \>
Registrations: 96 sets (4 rhythm areas + 8 tone areas) x 8 banks) <br \>
Music preset (with chord progressions): 300 presets + 50 user-configured <br \>
One-touch preset: 180 sets <br \>
Auto harmonize <br \>
Duet function  <br \>
Temperaments (preset scale): Equal temperament + 16 types <br \>
Stretch tune (on/off) <br \>
Octave shift: ±2 octaves <br \>
Panel lock <br \>
Slide keyboard cover <br \>
Key Transpose: 2 octaves (-12 to +12 semitones) <br \>
Tuning Control: A4 = 415.5 Hz ~ 440.0 Hz ~ 465.9 Hz <br \>
Pedals: 3 pedals (damper, soft, sostenuto) <br \>
Display Screen: Full-dot LCD with backlight <br \>
MIDI GM Compatibility: Level1, MIDI IN/OUT Terminals <br \>
Speakers: 16cm x 2 + 5cm x 2 (2-way 4 speakers) <br \>
Amp Output: 30W＋30W <br \>
Input/Output Terminals: Headphones (standard stereo jack) x 2, LINE OUT (L/MONO, R), LINE IN (L/MONO, R), USB: type A, type B, MIDI IN/OUT <br \>
Dimensions (W x D x H): 1,377 x 427 x 911mm <br \>
Weight: 50.2 kg <br \>
Body Color/Finish: Black wood tone finish <br \>
Included Accessories: Adjustable-height piano bench, AC adaptor (AD-E24500LW), score book, music stand, headphone hook <br \>",No,,,4971850361879,,0,/A/P/AP-650M_mainImage.jpg,,,,"Casio Celviano Digital Piano AP-650MBK, 88 Note Scaled Hammer Action Keyboard, AiR Sound Source, 30W x 30W Amplifier. Buy Online, Free Delivery, Cash on Delivery India
",,"Casio Celviano Digital Piano AP-650MBK Buy Online Free Delivery CoD India",,,"Use config","Use config","Casio Digital Piano AP-650MBK",,,"Block after Info Column",,110000.0000,0,"88 Note Scaled Hammer Action Keyboard
AiR Sound Source
30W x 30W Amplifier
",/a/p/ap-650m_thumb01_1.jpg,,,,,1,2,/a/p/ap-650m_thumb01_1.jpg,,"2014-09-01 13:30:47",casio-digital-piano-ap-650mbk,casio-digital-piano-ap-650mbk,4,50.2000,9.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/a/p/ap-650m_thumb01.jpg,,1,0
,,,,"Digital Piano","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/a/p/ap-650m_mainimage.jpg,,2,0
,,,,"Digital Piano/Casio","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/P/AP-650M_mainImage.jpg,,3,0
,,,,"Digital Piano/Casio/Celviano","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/a/p/ap-650m_thumb01_1.jpg,,4,0
CTK-6300IN,,Default,simple,,"Default Category",base,,,,"2014-04-15 09:45:18",,,,,"61 piano-style keys keyboard <br \>
Touch Response: 2 sensitivity levels, Off <br \>
AHL (Dual-element) Sound Source <br \>
48 maximum polyphony <br \>
Tones: 700 built-in (20 Indian tones) <br \>
Rhythms: 210 built-in (12 Indian rhythms) <br \>
Auto Accompaniment Modes: CASIO Chord, Fingered 1, Fingered 2 (6th off), Fingered 3 (on bass), Full Range Chord  <br \>
Controllers: Start/Stop, Intro, Normal/Fill-in, Variation/Fill-in, Synchro / Ending <br \>
Digital Effects: Reverb 10 types, Chorus 5 types <br \>
DSP: 100 preset, 100 user <br \>
EQ (Equalizer): 5(Off, Soft, Bright, B.Boost, Powerful) <br \>
Built-in Songs: 5 (demo tunes) <br \>
Metronome Beats: Beats: 0, 2, 3, 4, 5, 6 (Tempo range: quarter note = 30 to 255 per minute) <br \>
Mixer: 32 channels <br \>
Tone editor (10 user tones) <br \>
Registrations: 32 setups (4 sets x 8 banks) <br \>
Music preset: 305 preset with chord progression, chord edit <br \>
One-touch preset <br \>
Auto harmonize: 12 types <br \>
Arpeggiator: 150 types <br \>
Octave shift: ±2 octaves <br \>
Song controller: Play/Stop, Fast Forward, Fast Backward, Pause, Repeat <br \>
Pitch bend wheel : 0 to 24 semitones <br \>
Large Dial <br \>
Key Transpose: ±1 octave (-12 to +12 semitones) <br \>
Tuning Control: A4 = 415.5 - 440.0 - 465.9 Hz <br \>
Pedals: Standard jack <br \>
LCD Display with backlight  <br \>
SD Memory Card Slot <br \>
MIDI: Level 1 GM Compatibility, USB Terminal <br \>
Power: Batteries: D-size x 6/AC adaptor: AD-A12150LW <br \>
Amplifier: 6W＋6W <br \>
Speakers: 12cm x 2 + 3cm x 2, bass-reflex system, speaker on/off <br \>
Dimension: 948 x 384 x 122 mm <br \>
Weight: 5.7 kg <br \>
Included Accessories: Music stand, Music book, AC Adapter <br \>",No,,,4971850314240,,0,/C/T/CTK-6300IN_P.jpg,,,,"Casio CTK-6300IN Keyboard with AC Adaptor, Buy Online Free Delivery Cash on Delivery in India, 61 keys Piano-style keyboard, AHL sound source, 48 max polyphony, 700 built-in tones, 20 Indian tones, 210 built-in rhythms, 12 Indian rhythms, Step-up lessons.",,"Casio CTK-6300IN Keyboard with AC Adaptor Buy Online Free Delivery CoD India",,,"Use config","Use config","Casio Keyboard CTK-6300IN",,,"Block after Info Column",,14800.0000,0,"61 keys Piano-style keyboard, AHL sound source, 48 max polyphony, 700 built-in tones, 20 Indian tones, 210 built-in rhythms, 12 Indian rhythms, Step-up lesson system",/C/T/CTK-6300IN_s.jpg,,,,,1,2,/C/T/CTK-6300IN_s.jpg,,"2014-10-22 07:17:05",casio-keyboard-ctk-6300in,casio-keyboard-ctk-6300in,4,5.7000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,1,0,1,1,0.0000,1,0,0,,,,,CTK-7300IN,0,,,,,,,,,,,88,/c/t/ctk-6300in_p.jpg,,1,0
,,,,Keyboard/Casio,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/t/ctk-6300in_s.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/C/T/CTK-6300IN_P.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/C/T/CTK-6300IN_s.jpg,,4,0
